,电话:用户数:移动电话
区域,中国
次国家,
频率,月
单位,百万户
数据来源,工业和信息化部
状态,继续
数列ID,12918401 (CTCGM)
SR码,SR6129512
贸易代码,
助记符,
函数说明,
首次观测日期,01/1999
最后观测日期,03/2024
最后更新时间,08/05/2024
数列备注,
建议,
平均,1724.5216
方差,240.1086784888886
标准差,15.49544057098373
偏度,0.9937369857832369
峰度,0.2765286965853875
变异系数,0.00898535603786217
最小,1707.89
最大,1754.825
中位数,1724.1775
总和 SUM,17245.216
减 SUBTRACT,-46.934999999999945
参照期间,10
05/2023,1707.89
06/2023,1709.977
07/2023,1711.266
08/2023,1714.186
09/2023,1722.769
10/2023,1725.586
11/2023,1726.13
12/2023,1726.597
02/2024,1745.99
03/2024,1754.825